module_path	file	branch_pressure	match_count	if_count	max_match_depth	fanout	risk
db::query::plan::planner::range	crates/icydb-core/src/db/query/plan/planner/range.rs	28	12	16	2	12	elevated
db::session	crates/icydb-core/src/db/session.rs	25	16	9	2	56	low
db::query::plan::planner::compare	crates/icydb-core/src/db/query/plan/planner/compare.rs	19	3	16	2	10	low
db::executor::aggregate::terminals	crates/icydb-core/src/db/executor/aggregate/terminals.rs	17	7	10	1	22	low
db::executor::pipeline::operators::reducer	crates/icydb-core/src/db/executor/pipeline/operators/reducer.rs	17	11	6	2	19	low
db::query::plan::planner::prefix	crates/icydb-core/src/db/query/plan/planner/prefix.rs	12	1	11	1	9	low
db::access::execution_contract::route	crates/icydb-core/src/db/access/execution_contract/route.rs	11	1	10	1	5	low
db::executor::pipeline::operators::post_access	crates/icydb-core/src/db/executor/pipeline/operators/post_access/mod.rs	11	0	11	0	14	low
db::query::plan::planner::predicate	crates/icydb-core/src/db/query/plan/planner/predicate.rs	11	1	10	1	10	low
db::executor::pipeline::orchestrator	crates/icydb-core/src/db/executor/pipeline/orchestrator/mod.rs	9	7	2	1	10	low
db::executor::pipeline::orchestrator::payload	crates/icydb-core/src/db/executor/pipeline/orchestrator/payload.rs	8	2	6	1	4	low
db::executor::pipeline::entrypoints::scalar::hints	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/hints.rs	7	1	6	1	2	low
db::executor::kernel	crates/icydb-core/src/db/executor/kernel/mod.rs	6	0	6	0	9	low
db::query::fluent::load::terminals	crates/icydb-core/src/db/query/fluent/load/terminals.rs	6	0	6	0	15	low
db::executor::pipeline::runtime::fast_path::strategy	crates/icydb-core/src/db/executor/pipeline/runtime/fast_path/strategy.rs	5	3	2	1	7	low
db::executor::route::contracts::execution::plan	crates/icydb-core/src/db/executor/route/contracts/execution/plan.rs	5	4	1	2	4	low
db::access::dispatch	crates/icydb-core/src/db/access/dispatch.rs	4	4	0	1	7	low
db::error::planner	crates/icydb-core/src/db/error/planner.rs	4	4	0	2	4	low
db::executor::pipeline::operators::distinct	crates/icydb-core/src/db/executor/pipeline/operators/distinct.rs	4	1	3	1	14	low
db::executor::route::hints::aggregate	crates/icydb-core/src/db/executor/route/hints/aggregate.rs	4	2	2	1	8	low
db::executor::route::planner::entrypoints	crates/icydb-core/src/db/executor/route/planner/entrypoints.rs	4	2	2	1	14	low
db::executor::pipeline::entrypoints::scalar::surface	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/surface.rs	3	3	0	1	8	low
db::executor::pipeline::runtime::fast_path	crates/icydb-core/src/db/executor/pipeline/runtime/fast_path/mod.rs	3	2	1	1	11	low
db::executor::route::mode	crates/icydb-core/src/db/executor/route/mode.rs	3	1	2	1	7	low
db::executor::route::planner::intent	crates/icydb-core/src/db/executor/route/planner/intent.rs	3	2	1	1	5	low
db::executor::terminal::bytes	crates/icydb-core/src/db/executor/terminal/bytes.rs	3	2	1	1	17	low
db::executor::terminal	crates/icydb-core/src/db/executor/terminal/mod.rs	3	0	3	0	5	low
db::executor::terminal::page	crates/icydb-core/src/db/executor/terminal/page.rs	3	0	3	0	15	low
db::executor::terminal::ranking::materialized	crates/icydb-core/src/db/executor/terminal/ranking/materialized/mod.rs	3	1	2	1	8	low
db::executor::pipeline::contracts	crates/icydb-core/src/db/executor/pipeline/contracts/mod.rs	2	2	0	1	10	low
db::executor::pipeline::operators::post_access::window	crates/icydb-core/src/db/executor/pipeline/operators/post_access/window.rs	2	1	1	1	1	low
db::executor::route::planner::execution	crates/icydb-core/src/db/executor/route/planner/execution/mod.rs	2	2	0	1	4	low
db::executor::route::planner::execution::shape_aggregate_count	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_count.rs	2	2	0	1	5	low
db::executor::route::planner::feasibility	crates/icydb-core/src/db/executor/route/planner/feasibility/mod.rs	2	2	0	1	8	low
db::query::fluent::load::builder	crates/icydb-core/src/db/query/fluent/load/builder.rs	2	0	2	0	12	low
db::query::fluent::load::validation	crates/icydb-core/src/db/query/fluent/load/validation.rs	2	0	2	0	4	low
db::query::plan::access_planner	crates/icydb-core/src/db/query/plan/access_planner.rs	2	1	1	1	10	low
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	2	0	2	0	6	low
db::executor::pipeline::entrypoints::grouped	crates/icydb-core/src/db/executor/pipeline/entrypoints/grouped.rs	1	1	0	1	8	low
db::executor::pipeline::grouped_runtime::route_stage	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/route_stage.rs	1	0	1	0	10	low
db::executor::pipeline::stages::stage	crates/icydb-core/src/db/executor/pipeline/stages/stage.rs	1	1	0	1	0	low
db::executor::route::capability	crates/icydb-core/src/db/executor/route/capability.rs	1	0	1	0	10	low
db::executor::route::contracts::execution	crates/icydb-core/src/db/executor/route/contracts/execution/mod.rs	1	1	0	1	1	low
db::executor::route::grouped_runtime	crates/icydb-core/src/db/executor/route/grouped_runtime.rs	1	1	0	1	7	low
db::executor::route::guard	crates/icydb-core/src/db/executor/route/guard.rs	1	0	1	0	2	low
db::executor::route::hints::load	crates/icydb-core/src/db/executor/route/hints/load.rs	1	0	1	0	6	low
db::executor::route::planner::execution::shape_aggregate_grouped	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_grouped.rs	1	0	1	0	5	low
db::executor::route::planner::execution::shape_aggregate_non_count	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_non_count.rs	1	1	0	1	5	low
db::executor::route::planner::execution::shape_load	crates/icydb-core/src/db/executor/route/planner/execution/shape_load.rs	1	0	1	0	5	low
db::executor::route::planner::feasibility::grouped_strategy	crates/icydb-core/src/db/executor/route/planner/feasibility/grouped_strategy.rs	1	0	1	0	3	low
db::executor::route::planner	crates/icydb-core/src/db/executor/route/planner/mod.rs	1	0	1	0	6	low
db::executor::scan::fast_stream_route::handlers	crates/icydb-core/src/db/executor/scan/fast_stream_route/handlers.rs	1	0	1	0	14	low
db::executor::scan::fast_stream_route	crates/icydb-core/src/db/executor/scan/fast_stream_route/mod.rs	1	1	0	1	11	low
db::executor::terminal::ranking::take	crates/icydb-core/src/db/executor/terminal/ranking/take.rs	1	0	1	0	6	low
db::executor::continuation::route	crates/icydb-core/src/db/executor/continuation/route.rs	0	0	0	0	5	low
db::executor::pipeline::contracts::execution::inputs	crates/icydb-core/src/db/executor/pipeline/contracts/execution/inputs.rs	0	0	0	0	8	low
db::executor::pipeline::contracts::execution	crates/icydb-core/src/db/executor/pipeline/contracts/execution/mod.rs	0	0	0	0	0	low
db::executor::pipeline::contracts::execution::outcomes	crates/icydb-core/src/db/executor/pipeline/contracts/execution/outcomes.rs	0	0	0	0	3	low
db::executor::pipeline::contracts::execution::stream	crates/icydb-core/src/db/executor/pipeline/contracts/execution/stream.rs	0	0	0	0	3	low
db::executor::pipeline::contracts::grouped	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/mod.rs	0	0	0	0	0	low
db::executor::pipeline::contracts::grouped::route_stage	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/mod.rs	0	0	0	0	0	low
db::executor::pipeline::contracts::grouped::route_stage::payload	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/payload.rs	0	0	0	0	5	low
db::executor::pipeline::contracts::grouped::route_stage::projection	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/projection.rs	0	0	0	0	13	low
db::executor::pipeline::contracts::grouped::stages	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/stages.rs	0	0	0	0	6	low
db::executor::pipeline::entrypoints	crates/icydb-core/src/db/executor/pipeline/entrypoints/mod.rs	0	0	0	0	12	low
db::executor::pipeline::entrypoints::scalar	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/mod.rs	0	0	0	0	16	low
db::executor::pipeline::grouped_runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/mod.rs	0	0	0	0	0	low
db::executor::pipeline::grouped_runtime::runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/runtime.rs	0	0	0	0	4	low
db::executor::pipeline	crates/icydb-core/src/db/executor/pipeline/mod.rs	0	0	0	0	0	low
db::executor::pipeline::operators	crates/icydb-core/src/db/executor/pipeline/operators/mod.rs	0	0	0	0	0	low
db::executor::pipeline::operators::post_access::order_cursor	crates/icydb-core/src/db/executor/pipeline/operators/post_access/order_cursor.rs	0	0	0	0	6	low
db::executor::pipeline::orchestrator::guards	crates/icydb-core/src/db/executor/pipeline/orchestrator/guards.rs	0	0	0	0	2	low
db::executor::pipeline::orchestrator::state	crates/icydb-core/src/db/executor/pipeline/orchestrator/state.rs	0	0	0	0	5	low
db::executor::pipeline::runtime	crates/icydb-core/src/db/executor/pipeline/runtime/mod.rs	0	0	0	0	8	low
db::executor::pipeline::stages	crates/icydb-core/src/db/executor/pipeline/stages/mod.rs	0	0	0	0	0	low
db::executor::pipeline::stages::planner	crates/icydb-core/src/db/executor/pipeline/stages/planner.rs	0	0	0	0	1	low
db::executor::route::contracts::capabilities	crates/icydb-core/src/db/executor/route/contracts/capabilities.rs	0	0	0	0	1	low
db::executor::route::contracts::execution::observability	crates/icydb-core/src/db/executor/route/contracts/execution/observability.rs	0	0	0	0	1	low
db::executor::route::contracts	crates/icydb-core/src/db/executor/route/contracts/mod.rs	0	0	0	0	3	low
db::executor::route::contracts::shape	crates/icydb-core/src/db/executor/route/contracts/shape.rs	0	0	0	0	3	low
db::executor::route::fast_path	crates/icydb-core/src/db/executor/route/fast_path.rs	0	0	0	0	8	low
db::executor::route::hints	crates/icydb-core/src/db/executor/route/hints/mod.rs	0	0	0	0	0	low
db::executor::route	crates/icydb-core/src/db/executor/route/mod.rs	0	0	0	0	0	low
db::executor::route::planner::feasibility::gates	crates/icydb-core/src/db/executor/route/planner/feasibility/gates.rs	0	0	0	0	2	low
db::executor::route::pushdown	crates/icydb-core/src/db/executor/route/pushdown.rs	0	0	0	0	4	low
db::executor::route::semantics	crates/icydb-core/src/db/executor/route/semantics.rs	0	0	0	0	3	low
db::executor::route::terminal	crates/icydb-core/src/db/executor/route/terminal.rs	0	0	0	0	6	low
db::executor::runtime_context::load	crates/icydb-core/src/db/executor/runtime_context/load.rs	0	0	0	0	6	low
db::executor::terminal::ranking::by_slot	crates/icydb-core/src/db/executor/terminal/ranking/by_slot.rs	0	0	0	0	10	low
db::executor::terminal::ranking::materialized::projections	crates/icydb-core/src/db/executor/terminal/ranking/materialized/projections.rs	0	0	0	0	8	low
db::executor::terminal::ranking	crates/icydb-core/src/db/executor/terminal/ranking/mod.rs	0	0	0	0	0	low
db::query::explain::nodes::pipeline	crates/icydb-core/src/db/query/explain/nodes/pipeline.rs	0	0	0	0	1	low
db::query::explain::nodes::terminal	crates/icydb-core/src/db/query/explain/nodes/terminal.rs	0	0	0	0	1	low
db::query::fluent::load	crates/icydb-core/src/db/query/fluent/load/mod.rs	0	0	0	0	0	low
db::query::fluent::load::pagination	crates/icydb-core/src/db/query/fluent/load/pagination.rs	0	0	0	0	7	low
db::query::plan::planner	crates/icydb-core/src/db/query/plan/planner/mod.rs	0	0	0	0	8	low
