module	file	domain_families	has_other_internal_prefix	domain_count	fanout	loc	branch_sites_total	super_node
db::query::fingerprint::fingerprint	crates/icydb-core/src/db/query/fingerprint/fingerprint.rs	access/index,predicate/filter,query/plan	yes	4	12	831	0	yes
db::executor::aggregate::numeric	crates/icydb-core/src/db/executor/aggregate/numeric.rs	access/index,query/plan	yes	3	2	319	11	yes
db::executor::pipeline::contracts::grouped::route_stage::projection	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/projection.rs	access/index,query/plan	yes	3	1	134	0	yes
db::executor::pipeline::contracts::grouped::route_stage::payload	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/payload.rs	access/index,query/plan	yes	3	1	65	0	yes
db::query::fingerprint::projection_hash	crates/icydb-core/src/db/query/fingerprint/projection_hash.rs	query/plan	yes	2	4	412	7	no
db::executor::route::planner::entrypoints	crates/icydb-core/src/db/executor/route/planner/entrypoints.rs	query/plan	yes	2	3	203	4	no
db::sql::lowering	crates/icydb-core/src/db/sql/lowering.rs	query/plan	yes	2	2	1281	38	no
db::predicate::encoding	crates/icydb-core/src/db/predicate/encoding.rs	predicate/filter	yes	2	2	562	14	no
db::executor::executable_plan	crates/icydb-core/src/db/executor/executable_plan.rs	access/index	yes	2	2	529	16	no
db::access::lowering	crates/icydb-core/src/db/access/lowering.rs	access/index	yes	2	2	360	8	no
db::executor::stream::access::traversal	crates/icydb-core/src/db/executor/stream/access/traversal.rs	access/index	yes	2	2	328	7	no
db::executor	crates/icydb-core/src/db/executor/mod.rs	access/index	yes	2	2	195	2	no
db::query::fingerprint::aggregate_hash	crates/icydb-core/src/db/query/fingerprint/aggregate_hash.rs	query/plan	yes	2	2	169	2	no
db::executor::route::capability	crates/icydb-core/src/db/executor/route/capability.rs	access/index	yes	2	2	163	1	no
db::predicate::fingerprint	crates/icydb-core/src/db/predicate/fingerprint.rs	predicate/filter	yes	2	2	137	0	no
db::cursor::planned	crates/icydb-core/src/db/cursor/planned.rs	cursor/continuation	yes	2	2	105	0	no
db::error::planner	crates/icydb-core/src/db/error/planner.rs	query/plan	yes	2	2	64	4	no
db::executor::aggregate::projection	crates/icydb-core/src/db/executor/aggregate/projection/mod.rs	access/index	yes	2	1	527	23	no
db::executor::aggregate::fast_path	crates/icydb-core/src/db/executor/aggregate/fast_path.rs	access/index	yes	2	1	464	17	no
db::query::plan::continuation	crates/icydb-core/src/db/query/plan/continuation.rs	cursor/continuation	yes	2	1	452	15	no
db::executor::aggregate::capability	crates/icydb-core/src/db/executor/aggregate/capability.rs	cursor/continuation	yes	2	1	369	12	no
db::cursor::anchor	crates/icydb-core/src/db/cursor/anchor.rs	cursor/continuation	yes	2	1	267	12	no
db::executor::aggregate::runtime::grouped_distinct::aggregate	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/aggregate.rs	predicate/filter	yes	2	1	139	8	no
db::executor::aggregate::contracts::spec	crates/icydb-core/src/db/executor/aggregate/contracts/spec.rs	query/plan	yes	2	1	66	2	no
db::query::fingerprint	crates/icydb-core/src/db/query/fingerprint/mod.rs	query/plan	yes	2	1	29	0	no
db::query::plan::constant_predicate	crates/icydb-core/src/db/query/plan/constant_predicate.rs	predicate/filter,query/plan	no	2	1	27	1	no
db::query::plan::covering	crates/icydb-core/src/db/query/plan/covering.rs	-	yes	1	3	449	11	no
db::cursor::envelope	crates/icydb-core/src/db/cursor/envelope.rs	-	yes	1	3	400	13	no
db::executor::pipeline::operators::post_access	crates/icydb-core/src/db/executor/pipeline/operators/post_access/mod.rs	-	yes	1	3	392	8	no
db::cursor::token::scalar	crates/icydb-core/src/db/cursor/token/scalar.rs	cursor/continuation	no	1	3	226	1	no
db::executor::route::planner::feasibility	crates/icydb-core/src/db/executor/route/planner/feasibility/mod.rs	-	yes	1	3	224	2	no
db::numeric	crates/icydb-core/src/db/numeric/mod.rs	-	yes	1	3	176	3	no
db::cursor::token::grouped	crates/icydb-core/src/db/cursor/token/grouped.rs	cursor/continuation	no	1	3	174	0	no
db::query::plan::access_plan	crates/icydb-core/src/db/query/plan/access_plan.rs	access/index	no	1	3	109	1	no
db::executor::pipeline::runtime	crates/icydb-core/src/db/executor/pipeline/runtime/mod.rs	-	yes	1	3	77	0	no
db::query::plan::access_choice	crates/icydb-core/src/db/query/plan/access_choice.rs	predicate/filter	no	1	2	1112	64	no
db::query::intent::query	crates/icydb-core/src/db/query/intent/query.rs	query/plan	no	1	2	708	13	no
db::predicate::normalize	crates/icydb-core/src/db/predicate/normalize.rs	predicate/filter	no	1	2	550	18	no
value::storage_key	crates/icydb-core/src/value/storage_key.rs	-	yes	1	2	548	15	no
db::query::intent::state	crates/icydb-core/src/db/query/intent/state.rs	query/plan	no	1	2	474	20	no
db::executor::aggregate	crates/icydb-core/src/db/executor/aggregate/mod.rs	-	yes	1	2	384	9	no
db::executor::aggregate::contracts::grouped::context	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/context.rs	-	yes	1	2	366	9	no
db::access::plan	crates/icydb-core/src/db/access/plan.rs	access/index	no	1	2	358	11	no
db::executor::group::key	crates/icydb-core/src/db/executor/group/key.rs	-	yes	1	2	349	5	no
db::executor::pipeline::orchestrator	crates/icydb-core/src/db/executor/pipeline/orchestrator/mod.rs	-	yes	1	2	340	9	no
db::executor::stream::key::composite	crates/icydb-core/src/db/executor/stream/key/composite.rs	-	yes	1	2	340	15	no
db::query::plan::planner::range	crates/icydb-core/src/db/query/plan/planner/range.rs	query/plan	no	1	2	338	25	no
db::executor::diagnostics::node	crates/icydb-core/src/db/executor/diagnostics/node.rs	query/plan	no	1	2	318	3	no
db::executor::aggregate::contracts::state	crates/icydb-core/src/db/executor/aggregate/contracts/state.rs	-	yes	1	2	290	11	no
db::executor::aggregate::contracts::grouped::engine	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/engine.rs	-	yes	1	2	266	7	no
db::executor::pipeline::operators::distinct	crates/icydb-core/src/db/executor/pipeline/operators/distinct.rs	-	yes	1	2	260	4	no
db::executor::route::contracts::execution::plan	crates/icydb-core/src/db/executor/route/contracts/execution/plan.rs	-	yes	1	2	255	4	no
db::executor::continuation::route	crates/icydb-core/src/db/executor/continuation/route.rs	-	yes	1	2	232	0	no
db::query::plan::validate::intent_policy	crates/icydb-core/src/db/query/plan/validate/intent_policy.rs	query/plan	no	1	2	224	0	no
db::query::plan::validate::fluent_policy	crates/icydb-core/src/db/query/plan/validate/fluent_policy.rs	query/plan	no	1	2	186	2	no
db::executor::projection::materialize	crates/icydb-core/src/db/executor/projection/materialize.rs	-	yes	1	2	162	6	no
db::executor::pipeline::runtime::fast_path	crates/icydb-core/src/db/executor/pipeline/runtime/fast_path/mod.rs	-	yes	1	2	161	3	no
db::executor::route::guard	crates/icydb-core/src/db/executor/route/guard.rs	-	yes	1	2	161	0	no
db::executor::terminal::bytes	crates/icydb-core/src/db/executor/terminal/bytes.rs	-	yes	1	2	148	3	no
db::index::key::ordered	crates/icydb-core/src/db/index/key/ordered/mod.rs	-	yes	1	2	144	2	no
db::query::plan::key_item_match	crates/icydb-core/src/db/query/plan/key_item_match.rs	query/plan	no	1	2	139	10	no
db::commit::memory	crates/icydb-core/src/db/commit/memory.rs	storage/commit	no	1	2	131	5	no
db::executor::aggregate::runtime::grouped_fold::candidate_rows	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/candidate_rows/mod.rs	-	yes	1	2	125	6	no
db::executor::continuation::capabilities	crates/icydb-core/src/db/executor/continuation/capabilities.rs	-	yes	1	2	120	0	no
db::executor::route::fast_path	crates/icydb-core/src/db/executor/route/fast_path.rs	-	yes	1	2	115	0	no
db::executor::route::hints::load	crates/icydb-core/src/db/executor/route/hints/load.rs	-	yes	1	2	112	1	no
db::executor::pipeline::entrypoints::scalar	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/mod.rs	-	yes	1	2	109	0	no
db::query::plan::semantics::group_having	crates/icydb-core/src/db/query/plan/semantics/group_having.rs	query/plan	no	1	2	108	4	no
db::executor::diagnostics::counters	crates/icydb-core/src/db/executor/diagnostics/counters.rs	-	yes	1	2	106	0	no
db::query::plan::validate::grouped::policy	crates/icydb-core/src/db/query/plan/validate/grouped/policy/mod.rs	query/plan	no	1	2	106	2	no
db::query::plan::validate::cursor_policy	crates/icydb-core/src/db/query/plan/validate/cursor_policy.rs	query/plan	no	1	2	101	2	no
db::executor::route::planner	crates/icydb-core/src/db/executor/route/planner/mod.rs	-	yes	1	2	90	0	no
db::executor::continuation::grouped::capabilities	crates/icydb-core/src/db/executor/continuation/grouped/capabilities.rs	-	yes	1	2	83	0	no
db::executor::aggregate::runtime::grouped_distinct::paging	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/paging.rs	-	yes	1	2	76	1	no
db::query::expr	crates/icydb-core/src/db/query/expr.rs	query/plan	no	1	2	75	0	no
db::executor::route::mode	crates/icydb-core/src/db/executor/route/mode.rs	-	yes	1	2	70	3	no
db::executor::pipeline::stages::planner	crates/icydb-core/src/db/executor/pipeline/stages/planner.rs	-	yes	1	2	51	0	no
db::executor::explain::descriptor	crates/icydb-core/src/db/executor/explain/descriptor.rs	-	yes	1	1	951	48	no
db::query::fingerprint::hash_parts	crates/icydb-core/src/db/query/fingerprint/hash_parts.rs	query/plan	no	1	1	884	24	no
db::executor::aggregate::terminals	crates/icydb-core/src/db/executor/aggregate/terminals.rs	-	yes	1	1	445	17	no
db::executor::mutation::commit_window	crates/icydb-core/src/db/executor/mutation/commit_window.rs	-	yes	1	1	409	9	no
db::query::explain::execution	crates/icydb-core/src/db/query/explain/execution.rs	query/plan	no	1	1	409	6	no
db::session::sql	crates/icydb-core/src/db/session/sql.rs	-	yes	1	1	406	22	no
db::index::key::build	crates/icydb-core/src/db/index/key/build.rs	access/index	no	1	1	399	21	no
testing::fixtures	crates/icydb-core/src/testing/fixtures.rs	-	yes	1	1	388	0	no
db::executor::mutation::save	crates/icydb-core/src/db/executor/mutation/save.rs	-	yes	1	1	368	8	no
db::executor::runtime_context	crates/icydb-core/src/db/executor/runtime_context/mod.rs	-	yes	1	1	368	13	no
db::executor::pipeline::operators::reducer	crates/icydb-core/src/db/executor/pipeline/operators/reducer.rs	-	yes	1	1	367	16	no
db::executor::aggregate::field	crates/icydb-core/src/db/executor/aggregate/field/mod.rs	-	yes	1	1	361	12	no
db::executor::continuation::scalar	crates/icydb-core/src/db/executor/continuation/scalar.rs	-	yes	1	1	343	5	no
db::query::intent::model	crates/icydb-core/src/db/query/intent/model.rs	query/plan	no	1	1	323	7	no
db::query::plan::group	crates/icydb-core/src/db/query/plan/group.rs	-	yes	1	1	318	5	no
db::query::plan::planner::index_select	crates/icydb-core/src/db/query/plan/planner/index_select.rs	query/plan	no	1	1	313	22	no
db::executor::stream::access::physical	crates/icydb-core/src/db/executor/stream/access/physical.rs	-	yes	1	1	304	5	no
db::executor::aggregate::field_extrema	crates/icydb-core/src/db/executor/aggregate/field_extrema.rs	-	yes	1	1	298	14	no
db::executor::mutation::save_validation	crates/icydb-core/src/db/executor/mutation/save_validation.rs	-	yes	1	1	298	16	no
db::relation::reverse_index	crates/icydb-core/src/db/relation/reverse_index.rs	-	yes	1	1	287	7	no
db::predicate::simplify	crates/icydb-core/src/db/predicate/simplify.rs	predicate/filter	no	1	1	275	21	no
db::query::explain::access_projection	crates/icydb-core/src/db/query/explain/access_projection.rs	query/plan	no	1	1	275	2	no
db::executor::stream::access::bindings	crates/icydb-core/src/db/executor/stream/access/bindings.rs	-	yes	1	1	267	2	no
db::cursor	crates/icydb-core/src/db/cursor/mod.rs	-	yes	1	1	251	3	no
db::executor::aggregate::helpers	crates/icydb-core/src/db/executor/aggregate/helpers.rs	-	yes	1	1	250	10	no
db::query::plan::semantics::group_distinct	crates/icydb-core/src/db/query/plan/semantics/group_distinct.rs	query/plan	no	1	1	244	12	no
db::relation	crates/icydb-core/src/db/relation/mod.rs	-	yes	1	1	240	8	no
db::query::builder::aggregate	crates/icydb-core/src/db/query/builder/aggregate.rs	query/plan	no	1	1	227	3	no
db::session::query	crates/icydb-core/src/db/session/query.rs	-	yes	1	1	221	5	no
db::commit::prepare	crates/icydb-core/src/db/commit/prepare.rs	-	yes	1	1	208	8	no
db::index::predicate	crates/icydb-core/src/db/index/predicate/mod.rs	-	yes	1	1	206	6	no
db::cursor::continuation	crates/icydb-core/src/db/cursor/continuation.rs	-	yes	1	1	203	4	no
db::executor::delete	crates/icydb-core/src/db/executor/delete/mod.rs	-	yes	1	1	195	3	no
db::executor::stream::access::scan	crates/icydb-core/src/db/executor/stream/access/scan.rs	-	yes	1	1	190	5	no
db::executor::kernel	crates/icydb-core/src/db/executor/kernel/mod.rs	-	yes	1	1	187	6	no
db::cursor::error	crates/icydb-core/src/db/cursor/error.rs	-	yes	1	1	180	5	no
db::executor::window	crates/icydb-core/src/db/executor/window.rs	-	yes	1	1	178	2	no
db::query::plan::validate::grouped::policy::rules	crates/icydb-core/src/db/query/plan/validate/grouped/policy/rules.rs	query/plan	no	1	1	177	0	no
db::executor::continuation::engine	crates/icydb-core/src/db/executor/continuation/engine.rs	-	yes	1	1	170	2	no
db::commit::guard	crates/icydb-core/src/db/commit/guard.rs	-	yes	1	1	166	6	no
db::query::plan::logical_builder	crates/icydb-core/src/db/query/plan/logical_builder.rs	query/plan	no	1	1	166	5	no
db::query::plan::semantics::logical	crates/icydb-core/src/db/query/plan/semantics/logical.rs	query/plan	no	1	1	163	8	no
db::executor::pipeline::contracts::grouped::stages	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/stages.rs	-	yes	1	1	153	0	no
db::executor::route::contracts::execution	crates/icydb-core/src/db/executor/route/contracts/execution/mod.rs	-	yes	1	1	153	1	no
db::query::plan::semantics::group_model	crates/icydb-core/src/db/query/plan/semantics/group_model.rs	predicate/filter	no	1	1	152	0	no
db::executor::aggregate::runtime::grouped_fold	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/mod.rs	-	yes	1	1	149	2	no
db::query::intent::mutation	crates/icydb-core/src/db/query/intent/mutation.rs	query/plan	no	1	1	146	8	no
db::executor::projection::eval	crates/icydb-core/src/db/executor/projection/eval/mod.rs	-	yes	1	1	145	2	no
db::query::plan::validate::plan_shape	crates/icydb-core/src/db/query/plan/validate/plan_shape.rs	query/plan	no	1	1	140	4	no
db::executor::terminal::ranking::materialized::projections	crates/icydb-core/src/db/executor/terminal/ranking/materialized/projections.rs	-	yes	1	1	139	0	no
db::query::plan::validate::grouped::structure	crates/icydb-core/src/db/query/plan/validate/grouped/structure/mod.rs	query/plan	no	1	1	137	3	no
db::access::execution_contract::summary	crates/icydb-core/src/db/access/execution_contract/summary.rs	access/index	no	1	1	136	12	no
db::codec::cursor	crates/icydb-core/src/db/codec/cursor.rs	cursor/continuation	no	1	1	133	4	no
db::executor::scan::fast_stream_route::handlers	crates/icydb-core/src/db/executor/scan/fast_stream_route/handlers.rs	-	yes	1	1	132	1	no
db::executor::terminal::page	crates/icydb-core/src/db/executor/terminal/page.rs	-	yes	1	1	131	2	no
db::relation::validate	crates/icydb-core/src/db/relation/validate.rs	-	yes	1	1	124	3	no
db::executor::group	crates/icydb-core/src/db/executor/group/mod.rs	-	yes	1	1	122	0	no
db::commit::hooks	crates/icydb-core/src/db/commit/hooks.rs	-	yes	1	1	121	4	no
db::executor::stream::key::contracts	crates/icydb-core/src/db/executor/stream/key/contracts.rs	-	yes	1	1	121	2	no
db::executor::scan::fast_stream_route	crates/icydb-core/src/db/executor/scan/fast_stream_route/mod.rs	-	yes	1	1	120	1	no
db::executor::pipeline::orchestrator::payload	crates/icydb-core/src/db/executor/pipeline/orchestrator/payload.rs	-	yes	1	1	118	5	no
db::predicate::coercion	crates/icydb-core/src/db/predicate/coercion.rs	-	yes	1	1	117	2	no
db::cursor::token::wire	crates/icydb-core/src/db/cursor/token/wire.rs	cursor/continuation	no	1	1	115	5	no
db::executor::route::hints::aggregate	crates/icydb-core/src/db/executor/route/hints/aggregate.rs	-	yes	1	1	113	4	no
db::executor::projection::eval::operators::binary	crates/icydb-core/src/db/executor/projection/eval/operators/binary/mod.rs	-	yes	1	1	112	5	no
db::executor::pipeline::contracts	crates/icydb-core/src/db/executor/pipeline/contracts/mod.rs	-	yes	1	1	111	2	no
db::query::explain::json	crates/icydb-core/src/db/query/explain/json.rs	query/plan	no	1	1	110	12	no
db::executor::pipeline::grouped_runtime::route_stage	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/route_stage.rs	-	yes	1	1	108	1	no
value::tag	crates/icydb-core/src/value/tag.rs	-	yes	1	1	108	2	no
db::executor::aggregate::runtime::grouped_output::projection	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/projection.rs	-	yes	1	1	105	1	no
db::access::execution_contract::strategy	crates/icydb-core/src/db/access/execution_contract/strategy.rs	access/index	no	1	1	103	3	no
db::executor::aggregate::runtime::grouped_fold::candidate_rows::sink	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/candidate_rows/sink.rs	-	yes	1	1	103	5	no
db::relation::metadata	crates/icydb-core/src/db/relation/metadata.rs	-	yes	1	1	102	1	no
db::executor::aggregate::distinct	crates/icydb-core/src/db/executor/aggregate/distinct.rs	-	yes	1	1	99	4	no
db::executor::route::terminal	crates/icydb-core/src/db/executor/route/terminal.rs	-	yes	1	1	99	0	no
db::executor::route::planner::intent	crates/icydb-core/src/db/executor/route/planner/intent.rs	-	yes	1	1	98	2	no
db::executor::aggregate::runtime::grouped_fold::ingest	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/ingest.rs	-	yes	1	1	97	5	no
db::executor::pipeline::contracts::execution::stream	crates/icydb-core/src/db/executor/pipeline/contracts/execution/stream.rs	-	yes	1	1	94	0	no
db::executor::route::contracts::shape	crates/icydb-core/src/db/executor/route/contracts/shape.rs	-	yes	1	1	93	0	no
db::query::fingerprint::shape_signature	crates/icydb-core/src/db/query/fingerprint/shape_signature/mod.rs	query/plan	no	1	1	93	0	no
db::executor::route::planner::execution	crates/icydb-core/src/db/executor/route/planner/execution/mod.rs	-	yes	1	1	92	2	no
db::query::plan::expr::projection	crates/icydb-core/src/db/query/plan/expr/projection.rs	query/plan	no	1	1	92	1	no
db::query::plan::semantics::grouped_strategy	crates/icydb-core/src/db/query/plan/semantics/grouped_strategy.rs	query/plan	no	1	1	92	8	no
db::relation::save_validate	crates/icydb-core/src/db/relation/save_validate.rs	-	yes	1	1	92	1	no
db::executor::aggregate::runtime::grouped_output::finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/finalize.rs	-	yes	1	1	91	2	no
db::executor::pipeline::contracts::execution::inputs	crates/icydb-core/src/db/executor/pipeline/contracts/execution/inputs.rs	-	yes	1	1	89	0	no
db::executor::pipeline::entrypoints::scalar::surface	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/surface.rs	-	yes	1	1	89	3	no
db::access::execution_contract::pushdown	crates/icydb-core/src/db/access/execution_contract/pushdown.rs	access/index	no	1	1	87	4	no
db::executor::plan_metrics	crates/icydb-core/src/db/executor/plan_metrics.rs	-	yes	1	1	87	1	no
db::executor::preparation	crates/icydb-core/src/db/executor/preparation.rs	-	yes	1	1	87	1	no
db::executor::route::pushdown	crates/icydb-core/src/db/executor/route/pushdown.rs	-	yes	1	1	87	0	no
db::query::intent::key_access	crates/icydb-core/src/db/query/intent/key_access.rs	query/plan	no	1	1	86	1	no
db::executor::aggregate::execution	crates/icydb-core/src/db/executor/aggregate/execution.rs	-	yes	1	1	85	0	no
db::sql::identifier	crates/icydb-core/src/db/sql/identifier.rs	-	yes	1	1	85	4	no
db::query::plan::access_planner	crates/icydb-core/src/db/query/plan/access_planner.rs	query/plan	no	1	1	83	1	no
db::executor::pipeline::entrypoints::scalar::hints	crates/icydb-core/src/db/executor/pipeline/entrypoints/scalar/hints.rs	-	yes	1	1	82	5	no
db::executor::aggregate::runtime::grouped_having	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_having.rs	-	yes	1	1	81	3	no
db::executor::aggregate::runtime::grouped_fold::page_finalize	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/page_finalize.rs	-	yes	1	1	80	3	no
db::executor::stream::key::distinct	crates/icydb-core/src/db/executor/stream/key/distinct.rs	-	yes	1	1	80	4	no
db::executor::route::planner::feasibility::grouped_strategy	crates/icydb-core/src/db/executor/route/planner/feasibility/grouped_strategy.rs	-	yes	1	1	79	1	no
db::query::access::access_visitor	crates/icydb-core/src/db/query/access/access_visitor.rs	query/plan	no	1	1	78	1	no
db::executor::continuation::grouped::context	crates/icydb-core/src/db/executor/continuation/grouped/context.rs	-	yes	1	1	77	1	no
db::executor::pipeline::entrypoints	crates/icydb-core/src/db/executor/pipeline/entrypoints/mod.rs	-	yes	1	1	77	0	no
db::query::plan::planner	crates/icydb-core/src/db/query/plan/planner/mod.rs	query/plan	no	1	1	76	0	no
db::query::explain::nodes	crates/icydb-core/src/db/query/explain/nodes/mod.rs	query/plan	no	1	1	72	9	no
types::ulid::fixture	crates/icydb-core/src/types/ulid/fixture.rs	-	yes	1	1	71	1	no
db::executor::route::contracts::execution::observability	crates/icydb-core/src/db/executor/route/contracts/execution/observability.rs	-	yes	1	1	70	0	no
db::executor::aggregate::runtime::grouped_fold::engine_init	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/engine_init.rs	-	yes	1	1	69	2	no
db::executor::pipeline::entrypoints::grouped	crates/icydb-core/src/db/executor/pipeline/entrypoints/grouped.rs	-	yes	1	1	67	1	no
db::executor::pipeline::grouped_runtime::runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/runtime.rs	-	yes	1	1	67	0	no
db::query::fluent::load::validation	crates/icydb-core/src/db/query/fluent/load/validation.rs	-	yes	1	1	67	2	no
db::query::trace	crates/icydb-core/src/db/query/trace.rs	query/plan	no	1	1	67	0	no
db::executor::terminal	crates/icydb-core/src/db/executor/terminal/mod.rs	-	yes	1	1	66	3	no
db::index::key::codec::tuple	crates/icydb-core/src/db/index/key/codec/tuple.rs	access/index	no	1	1	66	5	no
db::executor::continuation::grouped::window	crates/icydb-core/src/db/executor/continuation/grouped/window.rs	-	yes	1	1	64	0	no
db::query::plan::model_builder	crates/icydb-core/src/db/query/plan/model_builder.rs	query/plan	no	1	1	63	0	no
db::executor::traversal	crates/icydb-core/src/db/executor/traversal.rs	-	yes	1	1	62	3	no
db::query::plan::grouped_layout	crates/icydb-core/src/db/query/plan/grouped_layout.rs	-	yes	1	1	61	5	no
db::query::plan::validate::grouped::projection_expr	crates/icydb-core/src/db/query/plan/validate/grouped/projection_expr/mod.rs	query/plan	no	1	1	61	2	no
db::executor::stream::key::order	crates/icydb-core/src/db/executor/stream/key/order.rs	-	yes	1	1	60	3	no
db::executor::projection::grouped	crates/icydb-core/src/db/executor/projection/grouped.rs	-	yes	1	1	59	2	no
db::cursor::resume	crates/icydb-core/src/db/cursor/resume.rs	-	yes	1	1	58	2	no
db::executor::route::grouped_runtime	crates/icydb-core/src/db/executor/route/grouped_runtime.rs	-	yes	1	1	57	1	no
db::executor::route::contracts::capabilities	crates/icydb-core/src/db/executor/route/contracts/capabilities.rs	-	yes	1	1	56	0	no
db::commit::rollback	crates/icydb-core/src/db/commit/rollback.rs	storage/commit	no	1	1	55	0	no
db::executor::pipeline::contracts::execution::outcomes	crates/icydb-core/src/db/executor/pipeline/contracts/execution/outcomes.rs	-	yes	1	1	53	0	no
db::executor::projection::eval::operators::unary	crates/icydb-core/src/db/executor/projection/eval/operators/unary.rs	-	yes	1	1	51	3	no
db::executor::runtime_context::load	crates/icydb-core/src/db/executor/runtime_context/load.rs	-	yes	1	1	50	0	no
