module	file	domain_families	has_other_internal_prefix	domain_count	fanout	loc	branch_sites_total	super_node
db::executor::scan::fast_stream	crates/icydb-core/src/db/executor/scan/fast_stream/mod.rs	-	yes	1	1	49	0	no
db::data::store	crates/icydb-core/src/db/data/store.rs	-	yes	1	1	47	0	no
db::executor::scan::secondary_index	crates/icydb-core/src/db/executor/scan/secondary_index.rs	-	yes	1	1	45	0	no
db::executor::aggregate::materialized_distinct	crates/icydb-core/src/db/executor/aggregate/materialized_distinct.rs	-	yes	1	1	44	0	no
db::executor::scan::index_range_limit	crates/icydb-core/src/db/executor/scan/index_range_limit.rs	-	yes	1	1	44	0	no
db::commit::apply	crates/icydb-core/src/db/commit/apply.rs	storage/commit	no	1	1	42	3	no
db::executor::mutation	crates/icydb-core/src/db/executor/mutation/mod.rs	-	yes	1	1	41	0	no
db::query::intent::planning	crates/icydb-core/src/db/query/intent/planning.rs	query/plan	no	1	1	40	1	no
db::executor::route::semantics	crates/icydb-core/src/db/executor/route/semantics.rs	-	yes	1	1	39	0	no
db::executor::scan::pk_stream	crates/icydb-core/src/db/executor/scan/pk_stream.rs	-	yes	1	1	39	0	no
db::query::intent::policy	crates/icydb-core/src/db/query/intent/policy.rs	query/plan	no	1	1	39	1	no
db::query::plan::validate::grouped::cursor	crates/icydb-core/src/db/query/plan/validate/grouped/cursor/mod.rs	query/plan	no	1	1	38	0	no
db::executor::pipeline::orchestrator::guards	crates/icydb-core/src/db/executor/pipeline/orchestrator/guards.rs	-	yes	1	1	35	0	no
db::query::intent	crates/icydb-core/src/db/query/intent/mod.rs	query/plan	no	1	1	35	0	no
db::executor::aggregate::contracts::error	crates/icydb-core/src/db/executor/aggregate/contracts/error.rs	-	yes	1	1	32	0	no
db::executor::pipeline::operators::post_access::window	crates/icydb-core/src/db/executor/pipeline/operators/post_access/window.rs	-	yes	1	1	32	2	no
db::index::key::codec::scalar	crates/icydb-core/src/db/index/key/codec/scalar.rs	access/index	no	1	1	31	1	no
db::executor::plan_validate	crates/icydb-core/src/db/executor/plan_validate.rs	-	yes	1	1	27	0	no
db::index::key::id	crates/icydb-core/src/db/index/key/id.rs	-	yes	1	1	23	0	no
db::query::explain::nodes::aggregate	crates/icydb-core/src/db/query/explain/nodes/aggregate.rs	query/plan	no	1	1	23	0	no
db::query::intent::order	crates/icydb-core/src/db/query/intent/order.rs	query/plan	no	1	1	21	1	no
db::query::policy	crates/icydb-core/src/db/query/policy.rs	query/plan	no	1	1	20	0	no
db::query::explain::nodes::scan	crates/icydb-core/src/db/query/explain/nodes/scan.rs	query/plan	no	1	1	19	0	no
db::error::query	crates/icydb-core/src/db/error/query.rs	-	yes	1	1	18	0	no
db::query::explain::nodes::pipeline	crates/icydb-core/src/db/query/explain/nodes/pipeline.rs	query/plan	no	1	1	18	0	no
db::query::explain::nodes::terminal	crates/icydb-core/src/db/query/explain/nodes/terminal.rs	query/plan	no	1	1	13	0	no
db::error::access	crates/icydb-core/src/db/error/access.rs	-	yes	1	1	10	0	no
db::query::plan::limit_zero	crates/icydb-core/src/db/query/plan/limit_zero.rs	query/plan	no	1	1	10	0	no
scalar_registry	crates/icydb-core/src/scalar_registry.rs	-	yes	1	0	168	0	no
db::query::explain::writer	crates/icydb-core/src/db/query/explain/writer.rs	query/plan	no	1	0	124	4	no
db::query::plan	crates/icydb-core/src/db/query/plan/mod.rs	query/plan	no	1	0	92	0	no
db::executor::pipeline::stages::stage	crates/icydb-core/src/db/executor/pipeline/stages/stage.rs	-	yes	1	0	55	1	no
db::query::plan::validate	crates/icydb-core/src/db/query/plan/validate/mod.rs	query/plan	no	1	0	43	0	no
db::cursor::token	crates/icydb-core/src/db/cursor/token/mod.rs	cursor/continuation	no	1	0	35	0	no
db::executor::route::contracts	crates/icydb-core/src/db/executor/route/contracts/mod.rs	-	yes	1	0	35	0	no
db::executor::route	crates/icydb-core/src/db/executor/route/mod.rs	-	yes	1	0	34	0	no
db::executor::pipeline::timing	crates/icydb-core/src/db/executor/pipeline/timing.rs	-	yes	1	0	32	0	no
db::executor::util	crates/icydb-core/src/db/executor/util.rs	-	yes	1	0	31	1	no
db::cursor::token::error	crates/icydb-core/src/db/cursor/token/error.rs	cursor/continuation	no	1	0	29	0	no
db::executor::continuation	crates/icydb-core/src/db/executor/continuation/mod.rs	-	yes	1	0	22	0	no
db::executor::aggregate::contracts	crates/icydb-core/src/db/executor/aggregate/contracts/mod.rs	-	yes	1	0	17	0	no
db::executor::stream::access	crates/icydb-core/src/db/executor/stream/access/mod.rs	-	yes	1	0	15	0	no
db::executor::stream::key	crates/icydb-core/src/db/executor/stream/key/mod.rs	-	yes	1	0	14	0	no
db::query::plan::validate::grouped	crates/icydb-core/src/db/query/plan/validate/grouped/mod.rs	query/plan	no	1	0	14	0	no
db::executor::projection	crates/icydb-core/src/db/executor/projection/mod.rs	-	yes	1	0	13	0	no
db::executor::diagnostics	crates/icydb-core/src/db/executor/diagnostics/mod.rs	-	yes	1	0	12	0	no
db::executor::pipeline::contracts::grouped	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/mod.rs	-	yes	1	0	11	0	no
db::executor::pipeline::operators	crates/icydb-core/src/db/executor/pipeline/operators/mod.rs	-	yes	1	0	11	0	no
db::executor::aggregate::contracts::grouped	crates/icydb-core/src/db/executor/aggregate/contracts/grouped/mod.rs	-	yes	1	0	10	0	no
db::executor::continuation::grouped	crates/icydb-core/src/db/executor/continuation/grouped/mod.rs	-	yes	1	0	10	0	no
db::executor::pipeline::contracts::execution	crates/icydb-core/src/db/executor/pipeline/contracts/execution/mod.rs	-	yes	1	0	10	0	no
db::executor::pipeline::contracts::grouped::route_stage	crates/icydb-core/src/db/executor/pipeline/contracts/grouped/route_stage/mod.rs	-	yes	1	0	10	0	no
db::executor::pipeline::stages	crates/icydb-core/src/db/executor/pipeline/stages/mod.rs	-	yes	1	0	10	0	no
db::executor::scan	crates/icydb-core/src/db/executor/scan/mod.rs	-	yes	1	0	10	0	no
db::executor::explain	crates/icydb-core/src/db/executor/explain/mod.rs	-	yes	1	0	9	0	no
db::executor::projection::eval::operators	crates/icydb-core/src/db/executor/projection/eval/operators/mod.rs	-	yes	1	0	8	0	no
db::executor::aggregate::runtime::grouped_distinct	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_distinct/mod.rs	-	yes	1	0	7	0	no
db::executor::pipeline::grouped_runtime	crates/icydb-core/src/db/executor/pipeline/grouped_runtime/mod.rs	-	yes	1	0	7	0	no
db::query::access	crates/icydb-core/src/db/query/access/mod.rs	query/plan	no	1	0	6	0	no
types::identity::id	crates/icydb-core/src/types/identity/id.rs	-	no	0	3	335	0	no
db::commit::store	crates/icydb-core/src/db/commit/store.rs	-	no	0	2	633	16	no
db::access::canonical	crates/icydb-core/src/db/access/canonical.rs	-	no	0	2	630	37	no
db::schema::describe	crates/icydb-core/src/db/schema/describe.rs	-	no	0	2	609	6	no
db::query::plan::semantics::access_projection	crates/icydb-core/src/db/query/plan/semantics/access_projection.rs	-	no	0	2	465	2	no
db::index::entry	crates/icydb-core/src/db/index/entry.rs	-	no	0	2	374	10	no
db::diagnostics::execution_trace	crates/icydb-core/src/db/diagnostics/execution_trace.rs	-	no	0	2	355	5	no
patch::merge::map	crates/icydb-core/src/patch/merge/map.rs	-	no	0	2	353	10	no
db::query::intent::errors	crates/icydb-core/src/db/query/intent/errors.rs	-	no	0	2	346	8	no
db::schema::fingerprint	crates/icydb-core/src/db/schema/fingerprint.rs	-	no	0	2	250	4	no
db::registry	crates/icydb-core/src/db/registry.rs	-	no	0	2	243	3	no
db::index::range	crates/icydb-core/src/db/index/range.rs	-	no	0	2	178	6	no
types::identity::projection	crates/icydb-core/src/types/identity/projection.rs	-	no	0	2	152	0	no
db::data::entity_decode	crates/icydb-core/src/db/data/entity_decode.rs	-	no	0	2	149	1	no
db::index::key::expression	crates/icydb-core/src/db/index/key/expression.rs	-	no	0	2	143	5	no
db::session::write	crates/icydb-core/src/db/session/write.rs	-	no	0	2	142	0	no
db::commit	crates/icydb-core/src/db/commit/mod.rs	-	no	0	2	137	1	no
db::data::row	crates/icydb-core/src/db/data/row.rs	-	no	0	2	134	1	no
db::executor::group::hash	crates/icydb-core/src/db/executor/group/hash.rs	-	no	0	2	103	0	no
db::contracts::semantics	crates/icydb-core/src/db/contracts/semantics.rs	-	no	0	2	62	1	no
types::decimal	crates/icydb-core/src/types/decimal.rs	-	no	0	1	1165	64	no
db::sql::parser	crates/icydb-core/src/db/sql/parser/mod.rs	-	no	0	1	1146	72	no
value	crates/icydb-core/src/value/mod.rs	-	no	0	1	840	37	no
db::diagnostics	crates/icydb-core/src/db/diagnostics/mod.rs	-	no	0	1	788	11	no
db::query::explain::plan	crates/icydb-core/src/db/query/explain/plan.rs	-	no	0	1	738	16	no
metrics::sink	crates/icydb-core/src/metrics/sink.rs	-	no	0	1	671	9	no
db::query::fluent::load::terminals	crates/icydb-core/src/db/query/fluent/load/terminals.rs	-	no	0	1	578	0	no
types::timestamp	crates/icydb-core/src/types/timestamp.rs	-	no	0	1	501	10	no
db::query::plan::model	crates/icydb-core/src/db/query/plan/model.rs	-	no	0	1	490	7	no
error	crates/icydb-core/src/error/mod.rs	-	no	0	1	484	3	no
db::migration	crates/icydb-core/src/db/migration/mod.rs	-	no	0	1	479	9	no
types::account	crates/icydb-core/src/types/account.rs	-	no	0	1	479	12	no
db::access::capabilities	crates/icydb-core/src/db/access/capabilities.rs	-	no	0	1	478	14	no
traits	crates/icydb-core/src/traits/mod.rs	-	no	0	1	473	5	no
types::duration	crates/icydb-core/src/types/duration.rs	-	no	0	1	412	9	no
db::query::plan::validate::errors	crates/icydb-core/src/db/query/plan/validate/errors.rs	-	no	0	1	410	3	no
db::access::validate	crates/icydb-core/src/db/access/validate.rs	-	no	0	1	391	23	no
db::data::key	crates/icydb-core/src/db/data/key.rs	-	no	0	1	384	3	no
types::date	crates/icydb-core/src/types/date.rs	-	no	0	1	382	5	no
model::index	crates/icydb-core/src/model/index.rs	-	no	0	1	345	11	no
visitor	crates/icydb-core/src/visitor/mod.rs	-	no	0	1	337	13	no
db::query::plan::expr::type_inference	crates/icydb-core/src/db/query/plan/expr/type_inference/mod.rs	-	no	0	1	332	18	no
db::identity	crates/icydb-core/src/db/identity/mod.rs	-	no	0	1	331	15	no
db::schema::validate	crates/icydb-core/src/db/schema/validate.rs	-	no	0	1	317	27	no
db::response	crates/icydb-core/src/db/response/mod.rs	-	no	0	1	289	0	no
db::cursor::spine	crates/icydb-core/src/db/cursor/spine.rs	-	no	0	1	274	4	no
db::cursor::boundary	crates/icydb-core/src/db/cursor/boundary.rs	-	no	0	1	264	13	no
traits::view	crates/icydb-core/src/traits/view.rs	-	no	0	1	264	4	no
types::principal	crates/icydb-core/src/types/principal.rs	-	no	0	1	262	4	no
db::predicate::model	crates/icydb-core/src/db/predicate/model.rs	-	no	0	1	258	0	no
db::access::execution_contract::route	crates/icydb-core/src/db/access/execution_contract/route.rs	-	no	0	1	257	11	no
db::schema::types	crates/icydb-core/src/db/schema/types.rs	-	no	0	1	256	17	no
db::predicate::runtime	crates/icydb-core/src/db/predicate/runtime.rs	-	no	0	1	251	8	no
db::session	crates/icydb-core/src/db/session/mod.rs	-	no	0	1	246	2	no
db::index::plan	crates/icydb-core/src/db/index/plan/mod.rs	-	no	0	1	244	6	no
db::index::predicate::compile	crates/icydb-core/src/db/index/predicate/compile.rs	-	no	0	1	239	16	no
types::int::int128	crates/icydb-core/src/types/int/int128.rs	-	no	0	1	236	2	no
db::index::scan	crates/icydb-core/src/db/index/scan.rs	-	no	0	1	233	12	no
types::float::float32	crates/icydb-core/src/types/float/float32.rs	-	no	0	1	233	7	no
db::access::path	crates/icydb-core/src/db/access/path.rs	-	no	0	1	232	4	no
types::float::float64	crates/icydb-core/src/types/float/float64.rs	-	no	0	1	228	6	no
db	crates/icydb-core/src/db/mod.rs	-	no	0	1	226	1	no
types::subaccount	crates/icydb-core/src/types/subaccount.rs	-	no	0	1	225	1	no
db::schema::info	crates/icydb-core/src/db/schema/info.rs	-	no	0	1	224	12	no
db::query::plan::planner::compare	crates/icydb-core/src/db/query/plan/planner/compare.rs	-	no	0	1	219	22	no
types::nat::nat128	crates/icydb-core/src/types/nat/nat128.rs	-	no	0	1	218	2	no
db::query::fluent::load::builder	crates/icydb-core/src/db/query/fluent/load/builder.rs	-	no	0	1	216	2	no
db::query::explain::render	crates/icydb-core/src/db/query/explain/render.rs	-	no	0	1	215	25	no
types::ulid	crates/icydb-core/src/types/ulid/mod.rs	-	no	0	1	215	4	no
db::commit::marker	crates/icydb-core/src/db/commit/marker.rs	-	no	0	1	212	7	no
db::access::execution_contract::executable	crates/icydb-core/src/db/access/execution_contract/executable.rs	-	no	0	1	211	5	no
value::hash	crates/icydb-core/src/value/hash.rs	-	no	0	1	211	6	no
db::query::plan::planner::prefix	crates/icydb-core/src/db/query/plan/planner/prefix.rs	-	no	0	1	209	11	no
traits::visitor	crates/icydb-core/src/traits/visitor.rs	-	no	0	1	199	6	no
db::cursor::runtime	crates/icydb-core/src/db/cursor/runtime.rs	-	no	0	1	188	6	no
db::index::store	crates/icydb-core/src/db/index/store.rs	-	no	0	1	187	4	no
db::query::fluent::delete	crates/icydb-core/src/db/query/fluent/delete.rs	-	no	0	1	186	0	no
db::executor::pipeline::runtime::fast_path::strategy	crates/icydb-core/src/db/executor/pipeline/runtime/fast_path/strategy.rs	-	no	0	1	181	4	no
db::index::key::ordered::normalize	crates/icydb-core/src/db/index/key/ordered/normalize.rs	-	no	0	1	180	9	no
db::index::plan::unique	crates/icydb-core/src/db/index/plan/unique.rs	-	no	0	1	180	7	no
db::predicate::semantics	crates/icydb-core/src/db/predicate/semantics.rs	-	no	0	1	176	11	no
model::field	crates/icydb-core/src/model/field.rs	-	no	0	1	166	2	no
db::cursor::order	crates/icydb-core/src/db/cursor/order.rs	-	no	0	1	165	5	no
db::index::key::codec	crates/icydb-core/src/db/index/key/codec/mod.rs	-	no	0	1	164	4	no
db::query::builder::field	crates/icydb-core/src/db/query/builder/field.rs	-	no	0	1	162	2	no
db::access::dispatch	crates/icydb-core/src/db/access/dispatch.rs	-	no	0	1	160	4	no
types::nat	crates/icydb-core/src/types/nat/mod.rs	-	no	0	1	155	2	no
types::int	crates/icydb-core/src/types/int/mod.rs	-	no	0	1	148	1	no
db::codec	crates/icydb-core/src/db/codec/mod.rs	-	no	0	1	147	5	no
db::response::grouped	crates/icydb-core/src/db/response/grouped.rs	-	no	0	1	144	0	no
db::executor::aggregate::projection::decode	crates/icydb-core/src/db/executor/aggregate/projection/decode.rs	-	no	0	1	137	14	no
db::query::plan::planner::predicate	crates/icydb-core/src/db/query/plan/planner/predicate.rs	-	no	0	1	137	13	no
value::compare	crates/icydb-core/src/value/compare.rs	-	no	0	1	137	10	no
db::executor::terminal::ranking::by_slot	crates/icydb-core/src/db/executor/terminal/ranking/by_slot.rs	-	no	0	1	135	0	no
db::commit::rebuild	crates/icydb-core/src/db/commit/rebuild.rs	-	no	0	1	131	3	no
db::response::paged	crates/icydb-core/src/db/response/paged.rs	-	no	0	1	131	0	no
patch::map	crates/icydb-core/src/patch/map.rs	-	no	0	1	124	1	no
db::query::plan::expr::ast	crates/icydb-core/src/db/query/plan/expr/ast.rs	-	no	0	1	120	0	no
db::index::plan::commit_ops	crates/icydb-core/src/db/index/plan/commit_ops.rs	-	no	0	1	119	6	no
db::query::plan::order_contract	crates/icydb-core/src/db/query/plan/order_contract.rs	-	no	0	1	117	5	no
db::query::plan::validate::core	crates/icydb-core/src/db/query/plan/validate/core.rs	-	no	0	1	115	3	no
db::query::fluent::load::pagination	crates/icydb-core/src/db/query/fluent/load/pagination.rs	-	no	0	1	114	0	no
patch::merge::set	crates/icydb-core/src/patch/merge/set.rs	-	no	0	1	113	1	no
db::executor::terminal::ranking::materialized	crates/icydb-core/src/db/executor/terminal/ranking/materialized/mod.rs	-	no	0	1	111	3	no
db::schema::errors	crates/icydb-core/src/db/schema/errors.rs	-	no	0	1	111	0	no
types::blob	crates/icydb-core/src/types/blob.rs	-	no	0	1	104	1	no
db::commit::recovery	crates/icydb-core/src/db/commit/recovery.rs	-	no	0	1	103	6	no
db::executor::route::planner::feasibility::gates	crates/icydb-core/src/db/executor/route/planner/feasibility/gates.rs	-	no	0	1	103	0	no
model::entity	crates/icydb-core/src/model/entity.rs	-	no	0	1	103	0	no
db::index::key::ordered::parts	crates/icydb-core/src/db/index/key/ordered/parts.rs	-	no	0	1	98	5	no
db::query::plan::projection	crates/icydb-core/src/db/query/plan/projection.rs	-	no	0	1	98	3	no
value::wire	crates/icydb-core/src/value/wire.rs	-	no	0	1	92	1	no
db::executor::aggregate::projection::covering	crates/icydb-core/src/db/executor/aggregate/projection/covering.rs	-	no	0	1	88	2	no
db::executor::aggregate::runtime::grouped_fold::global_distinct	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_fold/global_distinct.rs	-	no	0	1	85	1	no
db::executor::projection::eval::operators::binary::comparison	crates/icydb-core/src/db/executor/projection/eval/operators/binary/comparison.rs	-	no	0	1	84	2	no
db::access::execution_contract::types	crates/icydb-core/src/db/access/execution_contract/types.rs	-	no	0	1	83	0	no
serialize::cbor	crates/icydb-core/src/serialize/cbor.rs	-	no	0	1	83	2	no
db::index::key::ordered::semantics	crates/icydb-core/src/db/index/key/ordered/semantics.rs	-	no	0	1	77	0	no
db::query::api::result_ext	crates/icydb-core/src/db/query/api/result_ext.rs	-	no	0	1	77	3	no
db::query::plan::semantics::pushdown	crates/icydb-core/src/db/query/plan/semantics/pushdown.rs	-	no	0	1	77	0	no
types::unit	crates/icydb-core/src/types/unit.rs	-	no	0	1	76	0	no
db::query::plan::validate::order	crates/icydb-core/src/db/query/plan/validate/order.rs	-	no	0	1	74	1	no
db::cursor::validation	crates/icydb-core/src/db/cursor/validation.rs	-	no	0	1	72	2	no
db::executor::route::planner::execution::shape_aggregate_count	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_count.rs	-	no	0	1	72	2	no
db::executor::route::planner::execution::shape_aggregate_non_count	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_non_count.rs	-	no	0	1	68	1	no
db::executor::pipeline::orchestrator::state	crates/icydb-core/src/db/executor/pipeline/orchestrator/state.rs	-	no	0	1	67	0	no
db::cursor::range_token	crates/icydb-core/src/db/cursor/range_token.rs	-	no	0	1	66	0	no
patch::list	crates/icydb-core/src/patch/list.rs	-	no	0	1	62	0	no
types::ulid::generator	crates/icydb-core/src/types/ulid/generator.rs	-	no	0	1	62	2	no
db::predicate::resolved	crates/icydb-core/src/db/predicate/resolved.rs	-	no	0	1	57	0	no
patch::merge::list	crates/icydb-core/src/patch/merge/list.rs	-	no	0	1	56	3	no
db::commit::prepared_op	crates/icydb-core/src/db/commit/prepared_op.rs	-	no	0	1	49	0	no
db::index::key::codec::bounds	crates/icydb-core/src/db/index/key/codec/bounds.rs	-	no	0	1	49	0	no
db::index::pk_equivalence	crates/icydb-core/src/db/index/pk_equivalence.rs	-	no	0	1	45	0	no
patch::set	crates/icydb-core/src/patch/set.rs	-	no	0	1	45	0	no
db::executor::route::planner::execution::shape_load	crates/icydb-core/src/db/executor/route/planner/execution/shape_load.rs	-	no	0	1	44	1	no
patch::merge::scalar	crates/icydb-core/src/patch/merge/scalar.rs	-	no	0	1	44	2	no
db::commit::replay	crates/icydb-core/src/db/commit/replay.rs	-	no	0	1	43	1	no
db::executor::route::planner::execution::shape_aggregate_grouped	crates/icydb-core/src/db/executor/route/planner/execution/shape_aggregate_grouped.rs	-	no	0	1	41	0	no
db::executor::terminal::ranking::take	crates/icydb-core/src/db/executor/terminal/ranking/take.rs	-	no	0	1	40	1	no
db::error::cursor	crates/icydb-core/src/db/error/cursor.rs	-	no	0	1	39	1	no
db::executor::pipeline::operators::post_access::order_cursor	crates/icydb-core/src/db/executor/pipeline/operators/post_access/order_cursor.rs	-	no	0	1	34	0	no
db::index::key::codec::envelope	crates/icydb-core/src/db/index/key/codec/envelope.rs	-	no	0	1	33	0	no
db::error::executor	crates/icydb-core/src/db/error/executor.rs	-	no	0	1	31	0	no
db::index::key::ordered::error	crates/icydb-core/src/db/index/key/ordered/error.rs	-	no	0	1	31	0	no
visitor::sanitize	crates/icydb-core/src/visitor/sanitize.rs	-	no	0	1	27	0	no
visitor::validate	crates/icydb-core/src/visitor/validate.rs	-	no	0	1	27	0	no
validate	crates/icydb-core/src/validate.rs	-	no	0	1	25	0	no
sanitize	crates/icydb-core/src/sanitize.rs	-	no	0	1	24	0	no
db::query::plan::validate::symbols	crates/icydb-core/src/db/query/plan/validate/symbols.rs	-	no	0	1	22	0	no
db::schema::format	crates/icydb-core/src/db/schema/format.rs	-	no	0	1	21	0	no
value::rank	crates/icydb-core/src/value/rank.rs	-	no	0	1	19	0	no
db::index::plan::private	crates/icydb-core/src/db/index/plan/private.rs	-	no	0	1	17	0	no
db::query::api::private	crates/icydb-core/src/db/query/api/private.rs	-	no	0	1	13	0	no
metrics::state	crates/icydb-core/src/metrics/state.rs	-	no	0	0	606	4	no
serialize	crates/icydb-core/src/serialize/mod.rs	-	no	0	0	99	2	no
visitor::context	crates/icydb-core/src/visitor/context.rs	-	no	0	0	90	1	no
db::index::envelope	crates/icydb-core/src/db/index/envelope.rs	-	no	0	0	87	2	no
patch::merge::error	crates/icydb-core/src/patch/merge/error.rs	-	no	0	0	76	4	no
types	crates/icydb-core/src/types/mod.rs	-	no	0	0	54	0	no
lib	crates/icydb-core/src/lib.rs	-	no	0	0	47	0	no
db::codec::hash_stream	crates/icydb-core/src/db/codec/hash_stream.rs	-	no	0	0	45	0	no
db::access	crates/icydb-core/src/db/access/mod.rs	-	no	0	0	39	0	no
testing	crates/icydb-core/src/testing/mod.rs	-	no	0	0	36	0	no
value::coercion	crates/icydb-core/src/value/coercion.rs	-	no	0	0	36	0	no
db::index	crates/icydb-core/src/db/index/mod.rs	-	no	0	0	35	0	no
traits::atomic	crates/icydb-core/src/traits/atomic.rs	-	no	0	0	35	0	no
db::query::plan::semantics	crates/icydb-core/src/db/query/plan/semantics/mod.rs	-	no	0	0	31	0	no
model	crates/icydb-core/src/model/mod.rs	-	no	0	0	30	0	no
db::query	crates/icydb-core/src/db/query/mod.rs	-	no	0	0	29	0	no
db::predicate	crates/icydb-core/src/db/predicate/mod.rs	-	no	0	0	28	0	no
traits::macros	crates/icydb-core/src/traits/macros.rs	-	no	0	0	24	0	no
db::schema	crates/icydb-core/src/db/schema/mod.rs	-	no	0	0	22	0	no
db::access::execution_contract	crates/icydb-core/src/db/access/execution_contract/mod.rs	-	no	0	0	21	0	no
db::cursor::signature	crates/icydb-core/src/db/cursor/signature.rs	-	no	0	0	21	0	no
metrics	crates/icydb-core/src/metrics/mod.rs	-	no	0	0	20	0	no
db::error	crates/icydb-core/src/db/error/mod.rs	-	no	0	0	19	0	no
db::predicate::row_policy	crates/icydb-core/src/db/predicate/row_policy.rs	-	no	0	0	19	0	no
db::query::explain	crates/icydb-core/src/db/query/explain/mod.rs	-	no	0	0	18	0	no
db::contracts::rules	crates/icydb-core/src/db/contracts/rules.rs	-	no	0	0	17	1	no
db::direction	crates/icydb-core/src/db/direction.rs	-	no	0	0	17	0	no
db::data	crates/icydb-core/src/db/data/mod.rs	-	no	0	0	16	0	no
db::index::key	crates/icydb-core/src/db/index/key/mod.rs	-	no	0	0	15	0	no
types::identity::generate_key	crates/icydb-core/src/types/identity/generate_key.rs	-	no	0	0	15	0	no
patch::merge	crates/icydb-core/src/patch/merge/mod.rs	-	no	0	0	14	0	no
patch	crates/icydb-core/src/patch/mod.rs	-	no	0	0	14	0	no
db::index::key::codec::error	crates/icydb-core/src/db/index/key/codec/error.rs	-	no	0	0	13	0	no
db::executor::pipeline	crates/icydb-core/src/db/executor/pipeline/mod.rs	-	no	0	0	12	0	no
db::contracts	crates/icydb-core/src/db/contracts/mod.rs	-	no	0	0	10	0	no
db::query::api	crates/icydb-core/src/db/query/api/mod.rs	-	no	0	0	10	0	no
db::query::builder	crates/icydb-core/src/db/query/builder/mod.rs	-	no	0	0	10	0	no
db::query::fluent::load	crates/icydb-core/src/db/query/fluent/load/mod.rs	-	no	0	0	10	0	no
db::query::plan::expr	crates/icydb-core/src/db/query/plan/expr/mod.rs	-	no	0	0	10	0	no
db::response::private	crates/icydb-core/src/db/response/private.rs	-	no	0	0	10	0	no
types::identity	crates/icydb-core/src/types/identity/mod.rs	-	no	0	0	10	0	no
db::executor::aggregate::runtime	crates/icydb-core/src/db/executor/aggregate/runtime/mod.rs	-	no	0	0	8	0	no
types::float	crates/icydb-core/src/types/float/mod.rs	-	no	0	0	8	0	no
db::executor::terminal::ranking	crates/icydb-core/src/db/executor/terminal/ranking/mod.rs	-	no	0	0	7	0	no
db::sql	crates/icydb-core/src/db/sql/mod.rs	-	no	0	0	7	0	no
db::executor::aggregate::runtime::grouped_output	crates/icydb-core/src/db/executor/aggregate/runtime/grouped_output/mod.rs	-	no	0	0	6	0	no
db::executor::route::hints	crates/icydb-core/src/db/executor/route/hints/mod.rs	-	no	0	0	6	0	no
db::executor::stream	crates/icydb-core/src/db/executor/stream/mod.rs	-	no	0	0	6	0	no
db::query::fluent	crates/icydb-core/src/db/query/fluent/mod.rs	-	no	0	0	6	0	no
