-11704	repeat.user.grouped.case_sum.having_alias.order.limit5.runs10	824488	812784	-142	61991	750793
-10274	user.grouped.case_sum.having_alias.order.limit5.warm_after_update	734949	724675	-140	17497	707178
-6270	repeat.user.grouped.age_count.limit10.runs100	482047	475777	-131	14908	460869
-5283	repeat.user.grouped.age_count.limit10.runs10	503682	498399	-105	23975	474424
-3298	repeat.user.grouped.age_count.no_order.runs10	474959	471661	-70	21377	450283
2591	repeat.user.name.lower.order_only.asc.limit3.runs100	319188	321779	81	14787	306991
3084	repeat.user.name.lower.order_only.asc.limit3.runs10	347497	350581	88	23206	327374
3481	repeat.account.active.lower.order_handle.asc.limit3.runs10	379795	383276	91	27875	355401
4111	user.grouped.age_count.limit10	720324	724435	57	114570	609865
4418	user.show_tables	22662	27080	1949	25192	1888
4702	account.show_indexes	40260	44962	1167	32454	12508
4702	user.show_indexes	37376	42078	1258	31675	10403
5029	account.active.lower.order_handle.asc.limit3.warm_after_update	339615	344644	148	15221	329423
5339	account.describe	41483	46822	1287	30999	15823
5408	user.age.order_only.asc.limit2.warm_after_update	432431	437839	125	13450	424389
5430	user.describe	40196	45626	1350	30351	15275
5430	user.show_columns	34523	39953	1572	31697	8256
6784	repeat.user.pk.order_only.asc.limit1.runs10	212233	219017	319	20673	198343
7061	repeat.user.age_plus_rank.direct_order.asc.limit3.runs10	508669	515730	138	23019	492710
7452	repeat.user.distinct.age.order_only.asc.limit3.runs10	567462	574914	131	20729	554184
7644	repeat.user.age.order_only.asc.limit3.runs10	459062	466706	166	21829	444877
7650	repeat.user.pk.order_only.asc.limit2.runs100	239527	247177	319	13818	233359
8392	repeat.user.pk.order_only.asc.limit2.runs10	256154	264546	327	20673	243872
10671	user.explain_json.lower.order.limit1	589546	600217	181	112032	488185
10910	user.explain_execution.lower.order.limit1	770317	781227	141	111985	669242
11081	user.explain.lower.order.limit1	539936	551017	205	110605	440412
11776	user.name.lower.order_only.desc.limit3	614421	626197	191	107201	518996
12043	account.active.lower.order_handle.desc.limit3	701150	713193	171	142024	571169
12087	user.pk.key_only.asc.limit1	249662	261749	484	83357	178392
12100	user.name.lower.covering_key_only.asc.limit3	489790	501890	247	101281	400609
12219	user.name.covering_key_only.asc.limit3	428100	440319	285	91224	349095
12494	account.active.lower.materialized_score.asc.limit3	700258	712752	178	141657	571095
12526	user.name.order_only.desc.limit3	458911	471437	272	97234	374203
12557	account.active.lower.order_handle.asc.limit3	704084	716641	178	141932	574709
12579	account.active.lower.order_handle.asc.limit3.cold_query	704062	716641	178	141932	574709
13531	user.name.order_only.asc.limit3	459962	473493	294	97013	376480
13768	user.name.lower.materialized_rank.asc.limit3	622680	636448	221	107180	529268
14419	account.active.lower.covering_key_only.asc.limit3	570813	585232	252	135197	450035
14492	account.active.lower.order_handle.asc.limit2.offset1	703048	717540	206	144136	573404
14545	account.active.order_handle.desc.limit3	541296	555841	268	131509	424332
15022	user.pk.order_only.asc.limit1	378510	393532	396	89216	304316
15131	user.name.lower.order_only.asc.limit3	625408	640539	241	107215	533324
15285	account.active.order_handle.asc.limit2.offset1	540500	555785	282	133991	421794
15596	account.active.order_handle.asc.limit3	541224	556820	288	131105	425715
15910	user.pk.order_only.desc.limit2	418131	434041	380	89259	344782
15981	user.pk.order_only.asc.limit2	422821	438802	377	89216	349586
16038	user.age_div3_round.direct_order.desc.limit3	833742	849780	192	118379	731401
16259	user.age.order_only.asc.limit2.cold_query	630784	647043	257	96353	550690
16264	user.grouped.case_sum.having_alias.order.limit5.cold_query	1588451	1604715	102	466833	1137882
16481	user.age.order_only.desc.limit3	640958	657439	257	96392	561047
16682	user.name.materialized_rank.asc.limit3	547264	563946	304	96978	466968
17201	user.field_compare.age_eq_rank.limit3	695657	712858	247	139919	572939
17244	user.name.eq.order_id.limit1	471861	489105	365	134523	354582
17558	user.age.order_only.asc.limit3	637968	655526	275	96353	559173
20751	user.scalar_round.age_div3.limit3	749752	770503	276	135173	635330
20913	user.scalar_arithmetic.age_minus_one.limit3	677537	698450	308	120127	578323
24243	user.age.plus_one.alias_order.asc.limit3	778164	802407	311	139087	663320
26971	user.active.is_not_true.order_id.limit4	651560	678531	413	132895	545636
28396	user.age_plus_rank.alias_order.asc.limit3	786017	814413	361	141354	673059
32340	user.pk.range.asc.limit2	573062	605402	564	128419	476983
32719	user.age_plus_rank.direct_order.asc.limit3	790720	823439	413	148116	675323
34764	user.name.like_prefix.limit3	682356	717120	509	134605	582515
37029	user.field_compare.age_gt_rank.limit3	718871	755900	515	139099	616801
39033	user.count.active_true	787174	826207	495	162765	663442
41572	user.name.not_ilike_prefix.limit3	727867	769439	571	144697	624742
43396	user.name.ilike_prefix.limit3	800298	843694	542	132325	711369
43956	user.name.not_like_prefix.limit3	649250	693206	677	138884	554322
44955	account.count.active_true	796079	841034	564	163305	677729
45321	user.active.is_true.order_id.limit4	625950	671271	724	121989	549282
46563	user.field_compare.age_eq_age_nat.limit3	722002	768565	644	140479	628086
50527	user.name.lower.not_like_prefix.limit3	745824	796351	677	171809	624542
53937	user.name.lower.like_prefix.limit3	906391	960328	595	181335	778993
79516	account.tier_gold.lower.order_handle.limit3	1036743	1116259	766	365603	750656
80936	account.tier_gold.order_handle.limit3	875940	956876	923	357612	599264
88084	user.field_between.rank_age_age.limit3	973855	1061939	904	373964	687975
96706	repeat.user.case_where.order_id.limit3.runs10	464055	560761	2083	154895	405866
106050	account.active.handle_prefix.limit3	951259	1057309	1114	360474	696835
112073	user.age.not_between.limit3	948123	1060196	1182	360347	699849
115612	user.field_not_between.rank_age_age.limit3	891565	1007177	1296	372183	634994
120737	user.age.range.order.limit3	1024289	1145026	1178	380825	764201
122197	user.age.between.limit3	1014092	1136289	1204	374802	761487
134813	account.active.ilike_br.limit3	1067973	1202786	1262	412569	790217
137906	account.active.not_ilike_br.limit3	1026792	1164698	1343	438499	726199
146700	account.active.lower.handle_prefix.limit3	1179367	1326067	1243	467878	858189
160997	account.tier_gold.handle_prefix.limit3	1293846	1454843	1244	641350	813493
161905	account.tier.not_in.limit3	1262353	1424258	1282	650280	773978
167512	user.age.not_in.limit3	1048180	1215692	1598	535848	679844
185327	user.name.range.limit3	1634119	1819446	1134	422932	1396514
185383	user.age.in.limit3	1080966	1266349	1714	536947	729402
207409	account.tier_gold.lower.handle_prefix.limit3	1539687	1747096	1347	764161	982935
223022	user.name.lower.range.limit3	1615153	1838175	1380	617551	1220624
548324	account.tier.in.limit3	1881386	2429710	2914	1181534	1248176
